,,,
RIDE SUMMARY,,,
Total Time,58.3, Minutes, 
Total Distance,18.02, MI, 
AVG Power,143, ,
MAX Power,334, ,
AVG RPM,66, ,
MAX RPM,100, ,
AVG HR,0, ,
MAX HR,0, ,
CAL,0, ,
,,,
RIDE DATA, ,,
Power, RPM, HR, DISTANCE
101,63,0,17.38
102,64,0,17.39
105,65,0,17.41
107,65,0,17.42
106,64,0,17.44
104,63,0,17.45
102,62,0,17.47
100,62,0,17.48
98,61,0,17.49
98,62,0,17.51
98,62,0,17.52
99,62,0,17.54
99,62,0,17.55
99,62,0,17.56
99,62,0,17.58
98,62,0,17.59
81,65,0,17.61
86,68,0,17.62
90,67,0,17.63
89,67,0,17.65
92,66,0,17.66
90,65,0,17.68
89,66,0,17.69
91,67,0,17.7
94,67,0,17.72
94,67,0,17.73
94,66,0,17.74
93,66,0,17.76
92,66,0,17.77
92,66,0,17.79
92,66,0,17.8
92,66,0,17.81
92,66,0,17.83
92,66,0,17.84
92,67,0,17.85
93,67,0,17.87
93,65,0,17.88
90,65,0,17.9
84,66,0,17.91
55,69,0,17.92
59,72,0,17.94
66,68,0,17.95
55,62,0,17.96
42,58,0,17.97
40,55,0,17.98
21,40,0,17.99
1,11,0,18
6,23,0,18.01
6,23,0,18.01
0,1,0,18.01
0,1,0,18.02
0,2,0,18.02
0,2,0,18.02
0,0,0,18.02
